Name,Genre
Lost Horizon,Adventure
[Prototype 2],Action
Wasteland 2,Role-Playing
NBA 2K16,Sports
Stronghold,Strategy
Machinarium,Adventure
Doom 3,Shooter
Sonic Generations,Platform
Rome: Total War,Strategy
ArmA III,Shooter
Tom Clancys Splinter Cell: Conviction,Action
Stronghold Kingdoms,Strategy
Pro Evolution Soccer 2014,Action
The Book of Unwritten Tales,Adventure
Medieval II: Total War,Strategy
Thief (2014),Action
The Whispered World,Adventure
Harry Potter and the Deathly Hallows - Part 1,Action
"Warhammer 40,000: Dawn of War II - Chaos Rising",Strategy
Harry Potter and the Deathly Hallows - Part 2,Action
F1 2014,Racing
Skylanders: Spyros Adventure,Action
Dungeons,Strategy
Burnout Paradise: The Ultimate Box,Racing
Age of Empires II: The Age of Kings,Strategy
Halo 2,Shooter
Angry Birds: Rio,Puzzle
Rocket League,Sports
Wolfenstein: The Old Blood,Action
Ghostbusters: The Video Game (DS Version),Action
Pro Evolution Soccer 2012,Action
Star Wars: Empire at War - Gold Pack,Strategy
Black & White 2,Strategy
Might & Magic Heroes VII,Strategy
Crysis: Maximum Edition,Shooter
Bejeweled 3,Puzzle
Risen 3: Titan Lords,Role-Playing
Red Faction: Armageddon,Shooter
Assassins Creed: Rogue,Action
Age of Mythology,Strategy
The Sims 2: Apartment Life,Simulation
RollerCoaster Tycoon 3: Platinum,Strategy
Counter-Strike: Source,Shooter
Gray Matter,Adventure
Star Wars: Empire at War,Strategy
Edna & Harvey: Harveys New Eyes,Adventure
Dark Souls III,Role-Playing
Pro Evolution Soccer 2013,Sports
Wildlife Park 3,Simulation
The Sims 3: Barnacle Bay,Simulation
Battlefield 2,Shooter
Major League Baseball 2K11,Sports
Metal Gear Solid V: The Phantom Pain,Action
The Sims 3: Fast Lane Stuff,Simulation
Sniper: Ghost Warrior 2,Shooter
The Sims 2: Ikea Home Stuff,Simulation
"Warhammer 40,000: Dawn of War II - Retribution",Strategy
Hearts of Iron IV,Strategy
The First Templar,Action
Emergency 2012,Simulation
Game of Thrones,Role-Playing
Tomb Raider: Underworld,Action
F.E.A.R. 2: Project Origin,Shooter
X Rebirth,Simulation
Hearts of Iron III,Strategy
Silent Hunter III,Simulation
Serious Sam 3: BFE,Shooter
Need For Speed: Undercover,Racing
Need for Speed: Most Wanted,Racing
Rayman Origins,Platform
Mirrors Edge Catalyst,Platform
Need for Speed Underground 2,Racing
Torchlight,Role-Playing
The Lord of the Rings: The Battle for Middle-Earth,Strategy
Divinity II: Ego Draconis,Role-Playing
Pro Farm 1,Simulation
Dead Island: Riptide,Action
Kane & Lynch 2: Dog Days,Shooter
SimCity 4: Deluxe Edition,Simulation
Operation Flashpoint: Red River,Shooter
Football Manager 2010,Sports
Fable: The Lost Chapters,Role-Playing
